Word,POS,Tag,TagGeneral,TagPos,TagId
"['Climbing', 'Ben', 'Nevis', 'is', 'a', 'challenging', 'yet', 'rewarding', 'experience', 'for', 'hikers', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'CC', 'JJ', 'NN', 'IN', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Ben', 'Nevis', 'is', 'a', 'great', 'adventure', 'for', 'hiking', 'enthusiasts', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'VBG', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Ben', 'Nevis', 'is', 'a', 'popular', 'activity', 'for', 'hikers', 'in', 'Scotland', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NNS', 'IN', 'NNP', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Ben', 'Nevis', 'is', 'a', 'popular', 'activity', 'in', 'Scotland', 'during', 'the', 'summer', 'months', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'VBG', 'DT', 'NN', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Ben', 'Nevis', 'is', 'a', 'thrilling', 'adventure', 'that', 'attracts', 'many', 'hikers', 'each', 'year', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'WDT', 'VBZ', 'JJ', 'NNS', 'DT', 'NN', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Ben', 'Nevis', 'is', 'a', 'thrilling', 'experience', 'for', 'outdoor', 'enthusiasts', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'VBG', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Ben', 'Nevis', 'is', 'an', 'unforgettable', 'experience', 'for', 'outdoor', 'enthusiasts', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'a', 'challenge', 'that', 'attracts', 'many', 'experienced', 'mountaineers', '.']","['VBG', 'NNP', 'VBZ', 'DT', 'NN', 'WDT', 'VBZ', 'JJ', 'VBN', 'NNS', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'a', 'challenging', 'adventure', 'for', 'many', 'mountaineers', '.', 'Climbing', 'K2', 'is', 'a', 'challenging', 'adventure', 'for', 'many', 'mountaineers', '.', 'Climbing', 'K2', 'is', 'a', 'challenging', 'adventure', 'for', 'many', 'mountaineers', '.']","['VBG', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.', 'VBG', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.', 'VBG', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'a', 'formidable', 'challenge', 'for', 'many', 'mountaineers', '.']","['VBG', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'an', 'adventure', 'that', 'many', 'mountaineers', 'dream', 'of', '.']","['VBG', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'VB', 'IN', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'an', 'exhilarating', 'experience', 'for', 'adventurous', 'mountaineers', '.']","['VBG', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'greatest', 'challenges', 'for', 'mountaineers', '.']","['VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'JJS', 'NNS', 'IN', 'NNS', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'most', 'challenging', 'adventures', 'in', 'the', 'world', '.']","['VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'most', 'challenging', 'expeditions', 'in', 'the', 'world', '.']","['VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'RBS', 'VBG', 'NNS', 'IN', 'DT', 'NN', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'most', 'challenging', 'feats', 'in', 'mountaineering', '.', 'Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'most', 'challenging', 'feats', 'in', 'mountaineering', '.', 'Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'most', 'challenging', 'feats', 'in', 'mountaineering', '.', 'Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'most', 'challenging', 'feats', 'in', 'mountaineering', '.']","['VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'JJS', 'JJ', 'NNS', 'IN', 'NN', '.', 'VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'NN', '.', 'VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'RBS', 'VBG', 'NNS', 'IN', 'NN', '.', 'VBG', 'NNP', 'VBZ', 'VBD', 'CD', 'IN', 'DT', 'JJS', 'JJ', 'NNS', 'IN', 'NN', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'toughest', 'challenges', 'for', 'mountaineers', '.']","['VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'JJS', 'NNS', 'IN', 'NNS', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'toughest', 'challenges', 'in', 'mountaineering', '.', 'Climbing', 'K2', 'is', 'considered', 'one', 'of', 'the', 'toughest', 'challenges', 'in', 'mountaineering', '.']","['VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'JJS', 'NNS', 'IN', 'NN', '.', 'VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'JJS', 'NNS', 'IN', 'NN', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'K2', 'requires', 'great', 'skill', 'and', 'endurance', '.']","['VBG', 'NNP', 'VBZ', 'JJ', 'NN', 'CC', 'NN', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Mont', 'Blanc', 'is', 'a', 'challenging', 'yet', 'rewarding', 'experience', 'for', 'many', 'adventurers', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'RB', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Mount', 'Aconcagua', 'is', 'a', 'challenging', 'adventure', 'for', 'many', 'trekkers', '.', 'Climbing', 'Mount', 'Aconcagua', 'is', 'a', 'challenging', 'adventure', 'for', 'many', 'trekkers', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.', 'VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Mount', 'Aconcagua', 'is', 'a', 'dream', 'for', 'many', 'adventure', 'seekers', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Mount', 'Aconcagua', 'is', 'a', 'dream', 'for', 'many', 'avid', 'mountaineers', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'JJ', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Mount', 'Aconcagua', 'is', 'a', 'popular', 'adventure', 'among', 'many', 'outdoor', 'enthusiasts', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
